ENSG00000091831.20,ENSG00000106541.10,ENSG00000173467.7,ENSG00000129514.5,Group
0,0,0,1,TN
2,0,0,0,TN
1,0,0,0,TN
0,0,0,0,TN
0,0,0,1,TN
0,0,0,1,TN
2,3,0,4,TN
0,0,0,1,TN
1,0,0,0,TN
2,2,0,2,TN
1,1,0,1,TN
0,0,0,0,TN
3,5,3,3,TN
1,0,0,0,TN
1,1,0,2,TN
1,0,0,0,TN
1,1,0,1,TN
2,2,1,2,TN
0,0,0,0,TN
0,2,0,1,TN
0,0,0,0,TN
2,4,0,2,TN
0,0,0,2,TN
1,3,0,4,TN
0,0,0,0,TN
0,0,0,0,TN
1,1,0,0,TN
2,2,0,2,TN
0,1,0,0,TN
1,2,0,3,TN
0,0,0,0,TN
1,3,1,2,TN
1,1,0,1,TN
0,0,0,0,TN
0,3,0,4,TN
0,0,0,1,TN
0,4,0,4,TN
1,4,0,4,TN
2,0,0,0,TN
0,2,0,3,TN
0,0,0,0,TN
1,0,0,0,TN
0,2,0,3,TN
1,1,0,2,TN
0,1,0,1,TN
0,1,0,4,TN
1,0,0,1,TN
0,0,0,1,TN
3,3,2,3,TN
1,0,0,0,TN
2,0,0,2,TN
0,2,0,4,TN
1,3,0,4,TN
0,1,0,0,TN
1,0,0,0,TN
4,3,2,3,TN
0,0,0,0,TN
0,0,0,0,TN
0,1,0,2,TN
0,1,0,0,TN
2,1,1,1,TN
1,0,0,0,TN
0,0,0,0,TN
1,2,0,3,TN
0,0,0,0,TN
1,0,0,0,TN
3,4,3,3,TN
0,0,0,0,TN
1,1,0,0,TN
1,1,0,0,TN
3,4,2,3,TN
0,0,0,2,TN
1,1,0,0,TN
0,0,0,0,TN
0,0,0,0,TN
0,0,0,0,TN
1,0,0,1,TN
0,0,0,0,TN
0,4,0,2,TN
0,0,0,1,TN
1,3,0,1,TN
1,4,0,2,TN
0,2,0,0,TN
1,0,0,1,TN
0,0,0,2,TN
0,0,0,0,TN
0,0,0,0,TN
0,0,0,0,TN
0,0,0,0,TN
1,0,0,2,TN
0,1,0,0,TN
1,1,0,0,TN
0,2,0,1,TN
0,0,0,0,TN
0,0,0,1,TN
0,0,0,3,TN
0,0,0,0,TN
0,0,0,0,TN
2,1,0,1,TN
0,0,0,0,TN
1,1,0,1,TN
1,0,0,1,TN
1,0,0,0,TN
0,0,0,0,TN
0,0,0,1,TN
0,1,0,0,TN
1,0,0,2,TN
2,2,0,4,TN
1,0,0,0,TN
0,1,0,0,TN
1,1,0,2,TN
2,0,0,0,TN
0,1,0,0,TN
1,2,0,0,TN
1,1,0,1,TN
5,4,3,4,OT
4,4,3,4,OT
1,4,2,4,OT
2,0,0,2,OT
4,4,2,3,OT
4,5,4,4,OT
4,5,4,4,OT
4,4,3,4,OT
4,3,3,4,OT
2,3,0,3,OT
0,3,0,3,OT
3,5,3,3,OT
5,5,4,5,OT
5,5,3,4,OT
3,5,3,3,OT
5,5,3,4,OT
3,4,3,3,OT
5,3,3,4,OT
4,3,2,3,OT
4,4,3,4,OT
4,5,4,4,OT
4,5,2,4,OT
5,5,3,4,OT
3,4,3,3,OT
4,5,3,4,OT
4,3,2,4,OT
5,4,3,4,OT
1,2,0,4,OT
4,4,3,4,OT
3,5,3,3,OT
3,4,3,3,OT
4,5,2,4,OT
4,3,3,4,OT
4,5,3,4,OT
4,5,2,4,OT
4,1,2,4,OT
3,0,0,0,OT
5,3,3,4,OT
1,4,0,3,OT
5,4,3,4,OT
3,4,3,4,OT
5,5,4,4,OT
5,5,4,4,OT
4,5,3,4,OT
4,4,3,3,OT
4,3,3,4,OT
4,3,3,4,OT
4,4,4,4,OT
5,3,3,4,OT
4,4,3,4,OT
3,5,3,4,OT
5,3,1,4,OT
5,3,2,3,OT
3,3,3,4,OT
0,1,0,0,OT
3,4,2,4,OT
5,5,4,4,OT
4,4,3,4,OT
3,4,3,3,OT
4,3,3,4,OT
2,0,0,0,OT
5,3,3,4,OT
4,3,3,4,OT
4,4,3,3,OT
5,4,3,4,OT
5,5,3,4,OT
3,4,1,3,OT
4,5,4,4,OT
3,3,3,3,OT
4,4,3,4,OT
1,5,0,3,OT
4,4,3,4,OT
3,5,3,3,OT
3,3,2,3,OT
5,4,3,4,OT
3,2,1,3,OT
4,4,3,4,OT
3,4,3,4,OT
4,4,3,4,OT
5,4,1,4,OT
4,3,3,4,OT
4,3,1,4,OT
4,3,3,4,OT
3,3,2,3,OT
3,3,1,4,OT
4,4,2,3,OT
3,3,3,3,OT
4,4,3,4,OT
5,5,4,4,OT
4,5,3,3,OT
4,5,3,4,OT
4,1,0,4,OT
3,3,2,3,OT
2,3,2,3,OT
4,3,1,4,OT
5,3,2,5,OT
5,3,0,4,OT
5,5,3,3,OT
2,0,0,0,OT
4,5,4,4,OT
4,3,3,4,OT
