ENSG00000126709,ENSG00000130520,ENSG00000260032,ENSG00000164209,ENSG00000050426,ENSG00000178607,ENSG00000204569,ENSG00000253522,ENSG00000186314,ENSG00000165091,ENSG00000168887,ENSG00000172893,ENSG00000110200,ENSG00000114988,ENSG00000125755,ENSG00000169446,ENSG00000152359,ENSG00000148832,ENSG00000136709,ENSG00000177200,Group
2,2,0,0,0,0,0,0,1,2,0,2,1,0,2,0,0,0,0,3,KRAS
1,0,0,0,1,2,2,2,1,1,1,2,1,1,1,1,0,1,1,3,KRAS
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,KRAS
1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,3,KRAS
0,0,1,0,2,1,0,1,2,2,0,2,1,0,0,2,0,0,0,3,KRAS
1,1,1,1,1,0,1,2,1,0,1,1,1,0,1,0,1,0,1,4,KRAS
0,0,1,0,2,0,1,1,1,1,1,0,0,0,0,1,1,2,0,3,KRAS
1,0,1,0,2,1,0,1,2,0,1,1,1,0,1,1,1,0,0,3,KRAS
1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,3,KRAS
1,0,1,2,0,2,0,0,2,1,1,2,1,0,0,1,0,1,0,3,KRAS
2,1,1,0,1,1,1,1,0,0,1,2,1,1,1,1,1,1,1,3,KRAS
1,1,1,2,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,3,KRAS
1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,3,KRAS
1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,4,KRAS
1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,3,KRAS
1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,3,KRAS
1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,3,KRAS
1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,3,KRAS
0,1,0,0,1,1,1,0,1,1,0,2,2,1,1,1,2,0,0,3,KRAS
1,0,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,3,KRAS
1,0,1,1,1,0,0,1,2,1,1,2,1,1,1,1,0,1,1,3,KRAS
2,2,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,3,KRAS
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,WT
0,0,0,0,2,0,0,1,1,2,1,1,0,0,1,0,0,0,1,3,WT
0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,2,3,WT
0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,2,4,WT
0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,0,2,4,WT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,WT
0,0,0,0,0,0,1,0,2,0,0,2,1,0,0,2,0,0,2,4,WT
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,WT
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,4,WT
1,0,1,0,0,2,0,0,0,2,1,0,1,0,0,0,0,2,0,4,WT
0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,4,WT
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,2,3,WT
1,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,1,0,1,4,WT
