ENSG00000224914,ENSG00000084693,ENSG00000187010,ENSG00000106976,ENSG00000168405,ENSG00000133742,ENSG00000272870,ENSG00000066855,ENSG00000269051,ENSG00000151422,ENSG00000137804,ENSG00000166598,ENSG00000205765,ENSG00000184226,ENSG00000071243,ENSG00000092140,Group
1,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,KRAS
1,2,3,0,3,5,1,0,0,2,3,3,3,1,3,0,KRAS
0,3,3,0,3,0,0,0,0,1,0,0,0,0,0,0,KRAS
0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,KRAS
2,3,2,3,3,0,0,0,0,0,0,0,0,0,3,0,KRAS
1,3,0,0,3,3,0,0,0,0,0,0,3,0,1,0,KRAS
0,3,4,2,3,2,0,0,0,1,0,3,2,0,0,0,KRAS
1,3,3,2,3,3,1,0,0,1,1,1,1,0,2,0,KRAS
1,3,3,0,3,3,0,0,0,1,0,3,0,0,3,0,KRAS
0,2,3,1,3,3,0,0,0,1,1,0,0,0,2,1,KRAS
0,3,3,2,3,0,0,0,0,2,1,0,0,0,2,0,KRAS
1,2,3,1,3,0,0,0,0,2,1,1,1,0,2,0,KRAS
2,4,2,3,3,2,0,0,0,1,2,2,1,1,2,0,KRAS
2,3,3,3,3,0,0,0,0,1,0,0,0,0,0,0,KRAS
2,3,3,2,3,2,1,0,0,1,1,3,1,1,2,0,KRAS
1,3,3,2,3,2,0,0,0,1,1,1,1,1,1,1,KRAS
2,3,3,3,3,2,0,0,0,2,0,2,0,0,2,0,KRAS
2,2,2,3,3,2,0,0,0,2,2,3,0,0,2,2,KRAS
2,4,3,2,3,0,0,0,0,3,0,0,2,0,2,0,KRAS
2,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,KRAS
1,3,2,3,3,2,0,0,0,2,1,2,1,0,0,1,KRAS
1,2,1,3,3,0,0,0,0,3,3,0,0,0,2,0,KRAS
2,3,3,3,3,0,0,0,0,1,2,0,1,0,0,0,KRAS
1,3,3,0,3,3,2,0,0,2,0,3,0,0,2,0,KRAS
0,2,0,0,1,0,0,0,0,1,1,0,2,0,2,0,WT
1,2,3,0,3,0,0,0,0,2,2,4,0,0,3,0,WT
1,2,2,1,2,0,1,0,1,2,1,0,2,1,1,1,WT
0,2,2,0,2,1,1,2,0,2,2,4,2,1,3,2,WT
1,3,2,1,3,0,0,1,0,2,2,1,1,0,2,1,WT
2,3,2,2,2,2,2,0,0,2,2,2,0,0,2,2,WT
1,2,1,2,3,2,1,0,1,2,2,2,1,1,2,1,WT
1,2,1,1,3,1,1,0,1,2,2,4,1,1,2,1,WT
0,3,3,2,2,2,0,0,0,2,2,2,2,0,2,2,WT
0,3,2,2,3,0,1,0,1,2,2,1,2,1,2,2,WT
2,3,0,2,3,2,1,1,1,2,2,2,1,1,2,2,WT
1,3,3,2,3,0,0,0,0,2,2,1,0,0,2,1,WT
1,3,0,2,3,2,0,0,0,1,1,0,1,0,1,0,WT
0,2,2,1,4,2,1,1,0,2,1,2,2,0,3,1,WT
0,2,2,1,2,1,1,1,0,2,2,2,0,1,2,1,WT
0,2,0,0,2,1,0,1,0,2,1,2,2,1,2,1,WT
0,2,2,2,3,1,1,0,0,2,1,2,2,2,2,0,WT
0,2,2,1,2,0,0,0,0,2,1,2,2,1,2,0,WT
1,2,2,1,3,0,1,1,1,2,1,2,1,1,2,1,WT
0,2,2,2,3,2,1,1,0,2,2,2,2,1,2,1,WT
1,2,2,2,2,1,0,1,0,2,1,2,2,1,2,0,WT
0,2,2,1,2,1,1,0,0,2,2,1,1,1,2,1,WT
0,3,3,1,3,2,0,0,0,1,1,2,2,1,2,0,WT
0,2,2,2,3,0,0,0,1,2,2,2,2,2,2,2,WT
1,2,1,2,3,0,1,0,0,1,1,2,0,1,2,2,WT
1,3,4,1,3,1,1,0,0,2,2,3,0,0,2,1,WT
0,2,4,1,2,2,0,0,0,2,1,1,2,1,2,1,WT
0,3,4,1,2,2,1,0,0,2,1,2,2,1,2,1,WT
0,2,2,0,0,3,0,0,0,2,0,0,0,0,2,0,WT
0,3,4,2,2,2,0,0,0,2,0,2,2,1,2,2,WT
1,2,0,1,2,0,1,0,0,1,0,2,0,1,2,1,WT
0,1,0,0,2,0,0,0,0,2,1,0,0,1,1,0,WT
0,2,2,1,2,1,1,1,2,1,2,0,2,1,2,0,WT
0,2,2,2,2,3,0,1,1,2,2,0,2,1,2,0,WT
0,2,2,1,3,1,0,0,0,2,1,2,0,0,2,1,WT
1,2,3,1,2,1,1,1,1,1,1,2,2,1,2,1,WT
