ENSG00000140829,ENSG00000047410,ENSG00000163563,ENSG00000185532,ENSG00000084754,ENSG00000136147,ENSG00000162736,ENSG00000163904,ENSG00000105185,ENSG00000138722,ENSG00000115129,ENSG00000135930,ENSG00000106976,ENSG00000123066,ENSG00000062194,ENSG00000094963,ENSG00000120727,ENSG00000117640,ENSG00000160796,ENSG00000187051,ENSG00000149806,ENSG00000163734,ENSG00000244734,ENSG00000129472,ENSG00000082153,ENSG00000163605,ENSG00000131196,ENSG00000048471,ENSG00000250634,ENSG00000096093,Group
0,2,3,2,3,2,0,3,1,4,0,2,2,0,3,0,5,3,0,2,3,2,5,2,3,0,0,0,0,2,KRAS
1,2,4,1,3,2,2,2,2,3,1,1,1,2,3,0,5,3,1,2,3,2,4,2,3,1,0,1,1,1,KRAS
1,2,2,2,2,1,2,2,0,3,1,1,1,2,2,0,5,3,2,2,2,2,5,2,2,1,1,0,0,1,KRAS
1,2,3,2,3,0,2,2,1,4,2,2,0,2,2,1,5,3,1,2,2,2,5,1,3,1,1,1,1,1,KRAS
0,2,3,2,3,2,2,3,2,3,0,2,0,2,3,0,5,3,0,2,3,2,5,2,2,2,2,0,0,0,KRAS
2,2,2,2,3,0,2,2,2,4,2,0,2,1,2,0,5,3,2,2,2,2,5,2,3,0,0,2,0,2,KRAS
1,2,2,2,2,1,1,2,1,4,1,1,2,1,2,1,5,3,2,2,2,2,5,1,2,1,0,2,1,2,KRAS
1,2,3,2,2,1,1,1,1,3,0,2,0,1,2,0,5,3,1,2,3,2,5,1,2,1,0,1,1,1,KRAS
0,2,3,2,3,2,0,2,2,3,0,2,2,0,2,0,5,3,2,2,3,2,5,1,3,1,2,2,1,0,KRAS
1,2,5,2,3,2,2,2,2,3,1,2,1,1,2,1,5,3,2,2,3,2,5,2,3,1,2,2,0,1,KRAS
2,2,3,2,3,2,0,2,1,3,0,1,0,1,3,2,5,3,1,2,3,1,5,1,3,0,0,0,1,1,KRAS
1,2,2,2,3,1,1,2,1,4,1,2,1,2,2,1,5,3,2,2,2,2,5,1,2,1,1,1,1,1,KRAS
