ENSG00000115295,ENSG00000139163,ENSG00000226243,ENSG00000181450,ENSG00000168710,ENSG00000237803,ENSG00000136819,ENSG00000168904,ENSG00000187051,ENSG00000164258,ENSG00000177556,ENSG00000178057,ENSG00000140497,ENSG00000173083,ENSG00000143198,ENSG00000134265,ENSG00000161547,ENSG00000204710,Group
0,2,0,0,0,3,3,3,2,1,2,4,0,3,0,1,0,2,EGFR
0,0,1,0,1,3,3,2,2,1,2,4,3,0,3,2,2,2,EGFR
1,1,1,1,1,2,2,2,1,2,2,4,2,2,2,3,2,3,EGFR
2,1,1,1,2,2,3,2,2,2,2,4,3,2,2,2,2,2,EGFR
2,1,1,1,1,2,2,3,2,2,2,4,2,2,2,2,2,1,EGFR
1,2,1,2,1,2,2,2,2,2,2,5,2,2,2,2,2,2,EGFR
1,1,1,1,2,2,3,3,2,2,2,4,1,2,2,2,2,2,EGFR
2,1,1,1,2,2,3,2,2,2,2,3,2,2,2,2,2,1,EGFR
0,2,0,0,2,2,2,2,2,2,2,5,2,3,2,2,2,2,EGFR
2,0,2,0,2,2,2,2,2,2,2,4,2,2,2,2,2,2,EGFR
1,1,1,1,2,2,2,3,2,2,2,4,3,3,3,2,2,2,EGFR
1,1,1,0,2,2,2,2,1,1,1,4,2,2,2,1,2,0,EGFR
0,0,1,1,2,2,2,2,2,3,2,5,2,3,3,3,3,3,EGFR
1,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,2,2,EGFR
0,1,1,1,1,2,2,3,2,2,2,4,2,2,2,3,2,2,EGFR
0,2,1,0,1,2,2,2,2,2,2,4,2,2,3,2,2,1,EGFR
2,0,0,1,1,2,2,2,2,2,2,5,2,2,2,2,2,2,EGFR
0,1,1,1,1,2,2,2,2,2,2,4,2,1,2,3,2,1,EGFR
1,1,1,1,1,2,2,2,2,2,2,4,2,2,2,2,2,0,EGFR
1,0,1,1,1,2,2,2,2,2,2,4,2,2,2,2,2,2,EGFR
0,1,1,1,1,2,2,3,2,2,2,5,3,4,3,2,2,2,EGFR
0,0,0,0,0,2,3,2,2,2,2,4,2,0,2,3,2,2,WT
0,0,0,0,0,3,3,3,3,3,3,5,1,3,3,2,2,3,WT
0,0,0,0,0,3,3,3,3,3,2,4,3,0,3,3,3,4,WT
0,0,0,0,0,3,3,3,3,2,3,5,3,3,3,3,2,3,WT
0,0,0,0,0,2,3,3,2,2,2,4,3,0,2,3,3,3,WT
0,1,0,0,0,3,3,3,3,3,3,5,3,3,3,3,3,4,WT
1,0,0,0,3,3,3,3,3,3,3,5,3,3,3,3,3,4,WT
0,1,1,1,1,3,3,3,2,4,3,5,4,4,3,3,3,3,WT
2,0,0,0,0,3,3,3,3,3,3,5,3,3,3,3,3,3,WT
0,0,0,0,1,3,3,3,2,3,3,5,3,4,3,2,3,3,WT
0,0,2,0,2,3,2,3,3,3,3,5,3,3,3,2,3,2,WT
0,0,0,0,1,3,2,2,2,3,2,5,3,3,3,3,3,2,WT
0,0,1,0,2,2,2,2,2,2,2,5,3,3,2,2,2,4,WT
0,0,0,0,2,2,3,2,2,2,2,5,2,3,3,2,3,2,WT
1,2,0,1,2,2,3,3,2,2,2,5,3,4,3,3,2,1,WT
1,1,1,1,2,1,2,3,2,2,1,4,1,2,2,4,2,3,WT
0,0,2,1,2,2,2,3,2,2,2,5,3,2,3,3,3,3,WT
0,0,1,0,3,3,3,3,2,2,2,5,3,3,2,2,2,3,WT
0,0,0,0,2,2,3,2,3,2,2,5,3,3,2,2,3,3,WT
0,0,2,0,0,3,3,2,3,2,2,4,2,0,3,1,2,2,WT
0,0,0,0,2,2,2,3,2,2,2,5,2,4,3,2,2,3,WT
0,0,0,0,0,3,3,3,2,0,2,3,1,3,2,3,2,3,WT
0,0,0,1,2,2,3,3,3,2,3,5,3,3,3,3,3,2,WT
0,0,2,0,2,2,3,3,3,3,3,5,3,3,3,3,3,3,WT
0,0,0,0,1,2,2,2,2,3,3,5,2,2,2,3,3,3,WT
1,0,0,0,1,3,3,3,3,3,3,5,3,3,3,3,3,2,WT
0,2,0,0,1,2,2,3,2,2,3,5,3,3,3,3,2,0,WT
0,0,1,0,1,3,3,3,3,3,3,5,3,3,3,3,3,3,WT
0,0,1,0,1,3,3,3,3,3,2,5,3,3,3,3,3,4,WT
0,1,0,1,2,2,3,3,3,3,3,5,4,4,2,3,4,4,WT
0,1,0,0,0,3,3,3,3,3,3,5,3,4,3,3,3,4,WT
0,0,0,0,0,3,3,3,3,3,3,5,3,3,3,3,0,3,WT
0,0,1,0,2,3,3,3,3,3,3,5,3,4,3,3,3,2,WT
0,0,1,1,1,3,3,3,2,3,2,5,3,3,3,3,2,3,WT
0,0,0,0,0,2,3,3,2,2,2,4,1,0,3,2,3,3,WT
0,0,0,0,0,2,2,2,2,2,2,4,2,2,2,2,2,2,WT
0,0,0,0,0,2,2,3,2,2,2,4,3,4,3,3,2,2,WT
0,0,0,0,0,3,3,2,1,2,2,5,2,2,3,2,2,3,WT
0,1,0,0,0,3,1,3,2,3,4,5,3,3,3,3,3,3,WT
