ENSG00000100372,ENSG00000101052,ENSG00000165516,ENSG00000106397,ENSG00000145936,ENSG00000083444,ENSG00000106290,ENSG00000160131,Group
2,2,2,2,2,2,1,1,HER
2,1,2,0,2,2,2,0,HER
1,1,1,1,2,2,2,0,HER
1,2,2,0,2,2,2,0,HER
1,2,2,1,0,2,2,0,HER
2,2,2,0,0,0,0,0,HER
1,2,2,1,2,2,2,1,HER
1,2,2,0,1,2,2,0,HER
2,2,2,1,1,2,2,1,HER
1,1,2,1,2,2,2,0,HER
1,2,2,1,2,2,2,0,HER
2,1,1,0,2,0,0,1,HER
0,0,0,0,1,2,1,1,WT
0,1,0,0,0,1,0,0,WT
1,0,2,0,0,2,2,0,WT
1,1,3,0,1,1,2,0,WT
0,0,1,0,0,1,1,0,WT
2,0,0,1,1,1,1,1,WT
1,0,1,0,1,0,0,1,WT
1,0,0,0,0,0,0,0,WT
1,1,1,0,2,2,1,1,WT
0,1,1,0,3,1,0,1,WT
1,2,0,0,1,1,1,1,WT
0,2,2,0,0,2,2,1,WT
1,1,1,0,1,1,1,1,WT
1,1,1,0,1,0,0,1,WT
0,0,0,0,1,1,0,0,WT
0,1,1,0,1,1,1,1,WT
1,3,1,0,1,1,1,1,WT
0,1,0,0,1,0,1,1,WT
0,2,0,1,1,0,0,1,WT
1,0,0,0,2,1,1,1,WT
2,0,2,0,1,2,2,1,WT
0,0,1,0,1,2,1,1,WT
0,0,2,0,1,2,1,0,WT
1,2,2,0,1,1,2,1,WT
1,2,3,0,1,1,0,1,WT
1,1,2,0,0,1,1,1,WT
1,0,2,0,0,2,1,1,WT
