PDLIM3,EYA1,HHIP,CRB1,SFRP1,TRIM58,GABRA5,PALMD,NPR3,HLX,EOMES,PTPN5,RBM24,UNC5D,Group
3,3,3,3,4,0,1,2,1,2,2,1,1,2,SHH
3,3,2,3,4,1,1,1,1,2,1,1,1,1,SHH
3,3,3,3,4,1,1,2,1,2,2,1,2,2,SHH
3,3,3,3,3,0,0,1,1,0,2,2,1,2,SHH
3,3,2,2,3,1,0,1,1,1,0,1,0,1,SHH
4,3,3,3,4,0,1,1,1,0,1,0,2,1,SHH
4,3,3,3,4,1,0,1,1,2,1,1,1,3,SHH
3,2,2,3,3,1,0,1,1,1,1,1,1,1,SHH
3,0,1,3,1,0,0,2,1,2,2,0,1,2,SHH
3,3,3,3,4,1,0,2,1,2,2,2,1,2,SHH
4,3,3,3,4,0,1,1,0,2,2,2,1,1,SHH
1,0,0,0,2,3,4,3,3,3,1,1,2,3,G3
2,1,1,1,1,2,3,2,2,3,3,2,2,3,G3
1,0,0,0,2,3,3,3,3,3,3,0,0,2,G3
1,2,2,1,2,3,3,2,3,3,3,2,2,2,G3
1,1,1,0,2,3,3,3,3,3,3,0,1,2,G3
1,1,0,1,1,3,3,3,2,4,0,1,1,2,G3
1,2,0,0,1,3,3,3,3,1,3,0,0,2,G3
2,2,1,1,2,3,3,3,2,3,1,3,2,3,G3
1,2,0,2,2,2,3,3,2,2,2,0,2,1,G3
1,1,1,1,1,3,3,3,3,3,1,1,2,1,G3
2,0,1,1,1,3,3,2,3,3,1,0,0,2,G3
1,1,1,1,1,2,3,3,3,3,1,1,1,2,G3
1,1,1,2,3,3,3,3,3,4,1,1,2,2,G3
1,1,1,0,1,3,3,3,3,1,3,1,1,3,G3
1,0,0,1,0,3,3,3,3,1,1,0,1,1,G3
1,2,0,0,0,3,3,3,3,1,3,1,1,2,G3
1,1,1,1,2,1,1,2,1,0,4,3,3,3,G4
1,0,0,1,2,1,1,2,1,0,4,2,3,4,G4
1,0,0,1,2,1,1,1,1,1,4,3,3,4,G4
2,0,0,1,2,2,1,2,1,0,4,3,3,4,G4
1,0,1,0,1,1,1,1,1,1,4,3,3,3,G4
0,1,0,0,2,1,1,1,1,1,1,3,3,4,G4
1,1,0,1,2,1,1,2,1,1,4,3,3,4,G4
1,1,1,0,2,1,1,1,1,0,4,3,3,4,G4
1,0,1,1,2,1,1,2,1,0,4,3,3,4,G4
1,1,0,1,1,1,1,1,1,1,4,2,3,2,G4
1,0,0,1,1,2,3,2,3,1,4,2,2,3,G4
1,1,0,0,2,1,3,2,3,1,4,1,2,3,G4
1,0,1,1,2,1,1,1,1,1,4,3,3,4,G4
1,1,1,1,2,1,2,2,3,1,3,3,2,3,G4
1,0,0,1,2,1,1,2,1,0,3,3,3,2,G4
1,1,1,2,1,2,3,3,3,2,2,2,1,3,G4
1,0,0,0,2,0,1,2,2,1,4,3,3,3,G4
1,0,0,1,2,1,1,1,0,1,4,3,3,4,G4
2,1,1,1,2,1,2,1,1,1,4,2,3,3,G4
1,1,0,1,3,1,1,2,1,0,4,2,3,4,G4
1,0,1,0,1,1,0,1,1,1,4,1,3,3,G4
1,1,0,1,1,1,3,2,3,1,4,2,2,3,G4
1,0,1,0,2,2,3,2,2,2,4,2,3,3,G4
1,1,0,1,3,1,1,1,1,0,4,3,3,4,G4
2,0,1,1,1,1,2,1,1,1,2,3,2,3,G4
1,1,1,2,3,2,2,2,1,1,4,2,3,3,G4
1,0,1,1,2,1,2,2,1,1,4,3,3,3,G4
0,1,0,1,1,1,0,2,1,0,4,3,3,4,G4
0,1,0,1,2,1,1,2,1,1,4,3,3,3,G4
1,0,0,1,3,2,2,1,2,0,4,3,3,3,G4
1,1,1,1,2,1,2,1,2,0,4,2,3,3,G4
1,1,1,1,2,1,1,2,1,1,4,3,3,4,G4
0,0,1,0,2,1,2,2,1,0,4,3,3,4,G4
1,0,1,1,2,1,1,2,2,0,4,2,3,3,G4
1,0,1,1,2,0,1,2,1,1,4,3,3,4,G4
1,0,0,0,2,1,1,1,1,0,4,3,3,4,G4
1,1,1,1,2,1,1,2,1,1,4,3,3,4,G4
1,1,1,1,1,1,1,2,2,1,4,3,3,3,G4
0,1,0,1,2,0,0,1,0,0,4,3,3,4,G4
